epoch,train_rmse,validation_rmse,validation_mae,seconds
1,0.9017011920679938,0.8697664174779987,0.6586549246277348,156.46905493736267
2,0.8417293785285952,0.8540330082720524,0.6465401614442462,156.74059867858887
3,0.8299088300869869,0.8484159127618085,0.6423683483400582,150.53572416305542
4,0.8242120909373625,0.8457389242940764,0.6402650675249553,151.63250184059143
5,0.8206902078912544,0.8439273852960321,0.6388988551775775,168.40173172950745
6,0.8182133959071701,0.8428703083870279,0.6379863783910866,172.66967368125916
7,0.8163665697028581,0.8421816501776999,0.6373969856312093,168.63782262802124
8,0.8149118125972847,0.8415164178768401,0.6368709074667979,152.2845163345337
9,0.8137027811230624,0.8412235318655298,0.6366594018564046,151.09803414344788
10,0.8126704541319054,0.8406316897781069,0.636162924060752,153.89387011528015
11,0.8117296199435641,0.840470327110956,0.6360095990149814,150.41851091384888
12,0.810967590681569,0.8401907125305601,0.6357797542459632,146.55621910095215
13,0.8102512766716907,0.839828823485091,0.6354674277920519,157.77632927894592
14,0.8096151784438327,0.8396515753723606,0.6353043935993058,152.48446679115295
15,0.809058221705679,0.8395722026424846,0.6352315872808287,150.7976508140564
