movieId,reviewCount,positiveReviewCount,negativeReviewCount,positiveReviewRatio,negativeReviewRatio,meanSentimentScore,medianSentimentScore,sentimentReliability,adjustedSentimentScore,sentimentStd,meanPositiveProb,meanNegativeProb,meanSentimentConfidence
1,5,5,0,1.0,0.0,0.999483632961406,0.9996534545476047,0.5,0.499741816480703,0.0004636713042293484,0.9997418307877964,0.0002581978263903934,0.9997418307877964
2,4,4,0,1.0,0.0,0.921728986568714,0.9967886934290813,0.4444444444444444,0.4096573273638729,0.1502552400266266,0.9608645007520886,0.03913551418337455,0.9608645007520886
6,9,8,1,0.8888888888888888,0.1111111111111111,0.7127695316987952,0.9961932666773974,0.6428571428571429,0.45820898466351123,0.6049717859475409,0.8563847620546564,0.14361523035586124,0.9408615681232492
7,1,1,0,1.0,0.0,0.6526835749693496,0.6526835749693496,0.16666666666666666,0.10878059582822493,0.0,0.8263417486291018,0.17365817365975217,0.8263417486291018
8,2,1,1,0.5,0.5,0.07653851853799692,0.07653851853799692,0.2857142857142857,0.021868148153713407,1.2949076331039364,0.5382692582045144,0.4617307396665175,0.9578189831245236
10,7,5,2,0.7142857142857143,0.2857142857142857,0.42792480809469685,0.9978556268484261,0.5833333333333334,0.2496228047219065,0.9739712337055014,0.713962420689367,0.2860376125946701,0.99905436454891
12,4,3,1,0.75,0.25,0.5430252214805282,0.9971166530195924,0.4444444444444444,0.24134454288023477,0.9091369221612461,0.7715126427854267,0.22848742130489852,0.9766824290854047
13,1,1,0,1.0,0.0,0.9993648006596038,0.9993648006596038,0.16666666666666666,0.16656080010993396,0.0,0.9996824420866419,0.00031764142703814586,0.9996824420866419
14,1,1,0,1.0,0.0,0.9400560112617277,0.9400560112617277,0.16666666666666666,0.1566760018769546,0.0,0.9700279699163399,0.029971958654612184,0.9700279699163399
15,4,4,0,1.0,0.0,0.6869373951095525,0.8391574095414189,0.4444444444444444,0.3053055089375789,0.43190548384663513,0.8434687042464127,0.15653130913686025,0.8434687042464127
16,2,2,0,1.0,0.0,0.9391369658876048,0.9391369658876048,0.2857142857142857,0.2683248473964585,0.08403592253750654,0.9695684765659331,0.0304315106783284,0.9695684765659331
17,1,1,0,1.0,0.0,0.9926714429016277,0.9926714429016277,0.16666666666666666,0.1654452404836046,0.0,0.9963357295089526,0.003664286607324821,0.9963357295089526
19,2,0,2,0.0,1.0,-0.9930598121673553,-0.9930598121673553,0.2857142857142857,-0.28373137490495864,0.0060635651644173364,0.0034700885223896624,0.996529900689745,0.996529900689745
20,1,0,1,0.0,1.0,-0.9991722818920199,-0.9991722818920199,0.16666666666666666,-0.16652871364866997,0.0,0.0004138623801421146,0.999586144272162,0.999586144272162
21,3,2,1,0.6666666666666666,0.3333333333333333,0.3315619513681011,0.9870825205936988,0.375,0.12433573176303792,1.1409133963336486,0.6657809686458466,0.3342190172777455,0.9943963796349188
22,1,0,1,0.0,1.0,-0.9959893789860087,-0.9959893789860087,0.16666666666666666,-0.16599822983100143,0.0,0.0020053268208051677,0.9979947058068138,0.9979947058068138
23,2,0,2,0.0,1.0,-0.9675746122588795,-0.9675746122588795,0.2857142857142857,-0.27644988921682273,0.04482277286474379,0.01621266653123628,0.9837872787901157,0.9837872787901157
24,1,1,0,1.0,0.0,0.5025246552014566,0.5025246552014566,0.16666666666666666,0.08375410920024276,0.0,0.7512622946755235,0.24873763947406685,0.7512622946755235
25,3,3,0,1.0,0.0,0.9476735207116859,0.9838482164309925,0.375,0.3553775702668822,0.07426212023251601,0.9738367568832326,0.02616323617154681,0.9738367568832326
27,1,1,0,1.0,0.0,0.9832615015241835,0.9832615015241835,0.16666666666666666,0.16387691692069722,0.0,0.9916307237413194,0.00836922221713596,0.9916307237413194
28,1,1,0,1.0,0.0,0.9621205021353328,0.9621205021353328,0.16666666666666666,0.16035341702255546,0.0,0.9810602524701286,0.018939750334795783,0.9810602524701286
